Id,Name,Property_type,Room_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,No_of_reviews,Review_scores,Host_id,Host_name,Availability_30,Availability_60,Availability_90,Availability_365,Country,Longitude,Latitude,City
32928274,罗湖火车站旁文锦渡口岸对面三分钟地铁站安静独立一房一厅,Condominium,Private room,1,1125,flexible,2,0.0,1.0,251,697.25,59.20000000000001,140.0,1.0,0,90,247751679,昭霞,5,25,55,330,China,114.12917,22.54134,Shenzhenl
30959409,"Beautiful apartment  3 rooms, close to the beach",Condominium,Entire home/apt,1,1125,flexible,7,3.0,6.0,500,1204.209631728045,154.4988066825776,0.0,1.0,0,95,231330029,Roseli,13,15,19,19,Brazil,-43.371180954855355,-23.001051968022303,Barra da Tijuca
30826856,comfortable personal place,Apartment,Private room,1,1125,strict_14_with_grace_period,1,1.0,1.7395659432387311,353,1424.055718475073,179.45801526717557,50.0,1.0,4,91,165127099,Neko,28,58,88,363,Hong Kong,114.17215,22.29676,Hong Kong
30810129,Dorm 3baths SohoEast..,Apartment,Shared room,3,1125,strict_14_with_grace_period,12,1.0,1.7395659432387311,251,1424.055718475073,179.45801526717557,250.0,1.0,0,91,6504006,Chile,0,0,0,0,Hong Kong,114.22231,22.28146,Hong Kong
31057135,Wilner Hôtel,Condominium,Private room,1,1125,flexible,5,2.0,2.0,64,324.84578313253013,50.470715835141,20.0,1.0,1,93,216066707,Wilner,30,60,90,365,Canada,-73.53738,45.66563,Montreal
31080472,Waikiki Private Close to Everything,Condominium,Private room,5,1125,flexible,3,1.3226863226863228,1.0,85,271.6562150055991,116.97643732327991,20.0,1.0,2,94,232202725,Lei & Maree,0,0,0,0,United States,-157.83423,21.28633,Honolulu
31088238,Super convenient entire apartment near Sydney CBD!,Apartment,Entire home/apt,1,1125,flexible,4,1.5599343185550083,2.0148026315789473,151,433.06265060240975,90.51914893617023,0.0,1.0,3,93,232272510,Yali,0,0,0,0,Australia,151.19699,-33.88235,Ultimo
3113661,Room/private bathroom near Maracanã,Apartment,Private room,2,30,moderate,3,1.0,1.0,127,1204.209631728045,154.4988066825776,70.0,2.0,3,95,9667149,Carlos,5,35,65,340,Brazil,-43.23208916164074,-22.93181130274821,Rio de Janeiro
31235308,İstanbulun en merkezi ve tarihi ilçesinde yaşam,Apartment,Private room,1,15,flexible,1,1.3490136570561457,1.9816232771822357,132,726.4401913875598,82.5373665480427,170.0,2.0,0,92,232308132,Günay,29,59,89,364,Turkey,29.02179,41.02324,Uskudar
31279195,Causeway bay serviced apartment max for 3 people,Serviced apartment,Entire home/apt,1,8,strict_14_with_grace_period,3,0.0,1.7395659432387311,1201,1424.055718475073,179.45801526717557,0.0,1.0,0,91,76696290,Kidd,14,14,14,14,Hong Kong,114.18681,22.28023,Hong Kong
31318633,Spacious room with private floor in 3 story home,Townhouse,Private room,2,34,strict_14_with_grace_period,2,1.5599343185550083,2.0148026315789473,60,433.06265060240975,90.51914893617023,0.0,1.0,3,93,15024321,Andy,4,4,4,4,Australia,151.16873,-33.87127,Rozelle
31328773,Piso muy grande con 6 habitaciones en el centro,Apartment,Entire home/apt,32,1125,flexible,13,6.0,12.0,168,242.726862302483,43.026209677419345,0.0,1.0,0,91,234522807,Vicky,30,60,90,365,Spain,2.17625,41.38806,Barcelona
31352359,Lovely en-suite bedroom in city center,Bed and breakfast,Private room,2,1125,strict_14_with_grace_period,2,1.0,1.0,69,242.726862302483,43.026209677419345,20.0,2.0,2,91,234746453,Louis,3,9,22,22,Spain,2.16545,41.38328,Barcelona
31391462,Prince Edward-Sofa Bed,House,Shared room,3,5,strict_14_with_grace_period,1,1.0,1.7395659432387311,157,1424.055718475073,179.45801526717557,100.0,1.0,2,91,16806247,Demi,9,23,53,316,Hong Kong,114.16669,22.32711,Hong Kong
31403026,Stone Wall Apartment,Apartment,Entire home/apt,2,31,moderate,7,1.5324909747292421,2.408679927667269,79,83.85128205128206,19.04387990762125,15.0,2.0,0,94,235211066,Helder,29,59,78,254,Portugal,-8.59579,41.16738,Porto
